Query	KO_ID	KO_name,KO_definition	Hyperlink	Paths
Glyma.03G225400	K19882	NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]	http://www.genome.jp/dbget-bin/www_bget?ko:K19882	ko04310
Glyma.03G225500	K18551	SDT1; pyrimidine and pyridine-specific 5'-nucleotidase [EC:3.1.3.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K18551	ko00760
Glyma.03G225800	K01102	PDP; pyruvate dehydrogenase phosphatase [EC:3.1.3.43]	http://www.genome.jp/dbget-bin/www_bget?ko:K01102	_
Glyma.03G225900	K20628	exlX; expansin	http://www.genome.jp/dbget-bin/www_bget?ko:K20628	_
Glyma.03G226000	K19355	MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	http://www.genome.jp/dbget-bin/www_bget?ko:K19355	ko00051;ko01100
Glyma.03G226100	K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K00975	ko00500;ko00520;ko01100;ko01110;ko02026
Glyma.03G226300	K01363	CTSB; cathepsin B [EC:3.4.22.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01363	ko04140;ko04142;ko04210;ko04612;ko04621;ko04924
Glyma.03G226500	K12456	APC13; anaphase-promoting complex subunit 13	http://www.genome.jp/dbget-bin/www_bget?ko:K12456	ko04110;ko04114;ko04120;ko04914
Glyma.03G226600	K16911	DDX21; ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]	http://www.genome.jp/dbget-bin/www_bget?ko:K16911	_
Glyma.03G226700	K14360	OSTALPHA, OSTA, SLC51A1; organic solute transporter subunit alpha	http://www.genome.jp/dbget-bin/www_bget?ko:K14360	ko04976
Glyma.03G226800	K15639	CYP734A1, BAS1; PHYB activation tagged suppressor 1 [EC:1.14.-.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K15639	ko00905
Glyma.03G227100	K02519	infB, MTIF2; translation initiation factor IF-2	http://www.genome.jp/dbget-bin/www_bget?ko:K02519	_
Glyma.03G227500	K14638	SLC15A3_4, PHT; solute carrier family 15 (peptide/histidine transporter), member 3/4	http://www.genome.jp/dbget-bin/www_bget?ko:K14638	_
Glyma.03G227600	K19882	NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]	http://www.genome.jp/dbget-bin/www_bget?ko:K19882	ko04310
Glyma.03G227700	K09422	MYBP; transcription factor MYB, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K09422	_
Glyma.03G227900	K17285	SELENBP1; methanethiol oxidase [EC:1.8.3.4]	http://www.genome.jp/dbget-bin/www_bget?ko:K17285	ko00920;ko01100
Glyma.03G228200	K08245	E3.4.23.40; phytepsin [EC:3.4.23.40]	http://www.genome.jp/dbget-bin/www_bget?ko:K08245	_
Glyma.03G228300	K22207	LCD; L-cysteine desulfhydrase [EC:4.4.1.28]	http://www.genome.jp/dbget-bin/www_bget?ko:K22207	ko00270;ko01100
Glyma.03G228500	K17573	LKAP, MARF1; meiosis arrest female protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K17573	_
Glyma.03G228700	K16315	GSG2; serine/threonine-protein kinase haspin [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K16315	_
Glyma.03G228800	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.03G228900	K01648	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	http://www.genome.jp/dbget-bin/www_bget?ko:K01648	ko00020;ko00720;ko01100;ko01110;ko01120;ko01130
Glyma.03G229000	K14007	SEC24; protein transport protein SEC24	http://www.genome.jp/dbget-bin/www_bget?ko:K14007	ko04141;ko05130
Glyma.03G229100	K19355	MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	http://www.genome.jp/dbget-bin/www_bget?ko:K19355	ko00051;ko01100
Glyma.03G229200	K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26]	http://www.genome.jp/dbget-bin/www_bget?ko:K03083	ko01521;ko04012;ko04062;ko04110;ko04150;ko04151;ko04310;ko04340;ko04341;ko04360;ko04390;ko04510;ko04550;ko04657;ko04660;ko04662;ko04711;ko04722;ko04728;ko04910;ko04916;ko04917;ko04919;ko04931;ko04932;ko04934;ko04935;ko05010;ko05131;ko05135;ko05160;ko05162;ko05163;ko05165;ko05167;ko05200;ko05210;ko05213;ko05215;ko05217;ko05224;ko05225;ko05226
Glyma.03G229300	K01304	pcp; pyroglutamyl-peptidase [EC:3.4.19.3]	http://www.genome.jp/dbget-bin/www_bget?ko:K01304	_
Glyma.03G229400	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	http://www.genome.jp/dbget-bin/www_bget?ko:K00036	ko00030;ko00480;ko01100;ko01110;ko01120;ko01130;ko01200;ko05230
Glyma.03G229800	K18819	GOLS; inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]	http://www.genome.jp/dbget-bin/www_bget?ko:K18819	ko00052;ko01100
Glyma.03G230200	K12398	AP3M; AP-3 complex subunit mu	http://www.genome.jp/dbget-bin/www_bget?ko:K12398	ko04142
Glyma.03G230300	K02717	psbP; photosystem II oxygen-evolving enhancer protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K02717	ko00195
Glyma.03G230500	K15178	RTF1; RNA polymerase-associated protein RTF1	http://www.genome.jp/dbget-bin/www_bget?ko:K15178	_
Glyma.03G231000	K20285	RABEPK; Rab9 effector protein with kelch motifs	http://www.genome.jp/dbget-bin/www_bget?ko:K20285	_
Glyma.03G231200	K05953	E2.5.1.43; nicotianamine synthase [EC:2.5.1.43]	http://www.genome.jp/dbget-bin/www_bget?ko:K05953	_
Glyma.03G231800	K07953	SAR1; GTP-binding protein SAR1 [EC:3.6.5.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K07953	ko04141;ko05134
Glyma.03G231900	K12848	SNU23; U4/U6.U5 tri-snRNP component SNU23	http://www.genome.jp/dbget-bin/www_bget?ko:K12848	ko03040
Glyma.03G232000	K09584	PDIA6, TXNDC7; protein disulfide-isomerase A6 [EC:5.3.4.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K09584	ko04141
Glyma.03G232800	K15042	KPNA5_6; importin subunit alpha-6/7	http://www.genome.jp/dbget-bin/www_bget?ko:K15042	ko05164
Glyma.03G233100	K10406	KIFC2_3; kinesin family member C2/C3	http://www.genome.jp/dbget-bin/www_bget?ko:K10406	_
Glyma.03G234100	K01051	E3.1.1.11; pectinesterase [EC:3.1.1.11]	http://www.genome.jp/dbget-bin/www_bget?ko:K01051	ko00040;ko01100;ko02020
Glyma.03G234300	K08726	EPHX2; soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]	http://www.genome.jp/dbget-bin/www_bget?ko:K08726	ko00590;ko00625;ko01100;ko01120;ko04146
Glyma.03G234400	K08726	EPHX2; soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]	http://www.genome.jp/dbget-bin/www_bget?ko:K08726	ko00590;ko00625;ko01100;ko01120;ko04146
Glyma.03G234600	K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e	http://www.genome.jp/dbget-bin/www_bget?ko:K02883	ko03010
Glyma.03G234700	K06269	PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]	http://www.genome.jp/dbget-bin/www_bget?ko:K06269	ko03015;ko04022;ko04024;ko04113;ko04114;ko04218;ko04261;ko04270;ko04390;ko04510;ko04611;ko04720;ko04728;ko04750;ko04810;ko04910;ko04921;ko04931;ko05031;ko05034;ko05168;ko05205
Glyma.03G234900	K14843	PES1, NOP7; pescadillo	http://www.genome.jp/dbget-bin/www_bget?ko:K14843	_
Glyma.03G235000	K02891	RP-L22e, RPL22; large subunit ribosomal protein L22e	http://www.genome.jp/dbget-bin/www_bget?ko:K02891	ko03010
Glyma.03G235250	K03065	PSMC3, RPT5; 26S proteasome regulatory subunit T5	http://www.genome.jp/dbget-bin/www_bget?ko:K03065	ko03050;ko05169
Glyma.03G235500	K10364	CAPZA; capping protein (actin filament) muscle Z-line, alpha	http://www.genome.jp/dbget-bin/www_bget?ko:K10364	ko04144
Glyma.03G235600	K13511	TAZ; monolysocardiolipin acyltransferase [EC:2.3.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13511	ko00564
Glyma.03G235800	K01358	clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	http://www.genome.jp/dbget-bin/www_bget?ko:K01358	ko04112;ko04212
Glyma.03G236100	K10994	RAD9A; cell cycle checkpoint control protein RAD9A [EC:3.1.11.2]	http://www.genome.jp/dbget-bin/www_bget?ko:K10994	ko04218
Glyma.03G236200	K07213	ATOX1, ATX1, copZ, golB; copper chaperone	http://www.genome.jp/dbget-bin/www_bget?ko:K07213	ko04978
Glyma.03G236300	K13447	RBOH; respiratory burst oxidase [EC:1.6.3.- 1.11.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K13447	ko04016;ko04626
Glyma.03G236700	K13116	DDX41, ABS; ATP-dependent RNA helicase DDX41 [EC:3.6.4.13]	http://www.genome.jp/dbget-bin/www_bget?ko:K13116	_
Glyma.03G236900	K07200	PRKAG; 5'-AMP-activated protein kinase, regulatory gamma subunit	http://www.genome.jp/dbget-bin/www_bget?ko:K07200	ko04068;ko04152;ko04211;ko04213;ko04371;ko04530;ko04710;ko04714;ko04910;ko04920;ko04921;ko04922;ko04931;ko04932;ko05410
Glyma.03G237000	K21773	LIN9; protein lin-9	http://www.genome.jp/dbget-bin/www_bget?ko:K21773	ko04218
Glyma.03G237200	K02350	REV3L, POLZ; DNA polymerase zeta [EC:2.7.7.7]	http://www.genome.jp/dbget-bin/www_bget?ko:K02350	ko01524;ko03460
Glyma.03G237300	K15718	LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]	http://www.genome.jp/dbget-bin/www_bget?ko:K15718	ko00591
Glyma.03G237600	K20606	ANP1; mitogen-activated protein kinase kinase kinase ANP1 [EC:2.7.11.25]	http://www.genome.jp/dbget-bin/www_bget?ko:K20606	ko04016
Glyma.03G237700	K18636	TAN1; microtubule-binding protein TANGLED1	http://www.genome.jp/dbget-bin/www_bget?ko:K18636	_
Glyma.03G237800	K10406	KIFC2_3; kinesin family member C2/C3	http://www.genome.jp/dbget-bin/www_bget?ko:K10406	_
Glyma.03G238000	K17285	SELENBP1; methanethiol oxidase [EC:1.8.3.4]	http://www.genome.jp/dbget-bin/www_bget?ko:K17285	ko00920;ko01100
Glyma.03G238100	K18577	EBM; mannosylglycoprotein endo-beta-mannosidase [EC:3.2.1.152]	http://www.genome.jp/dbget-bin/www_bget?ko:K18577	_
Glyma.03G238400	K22940	YIPF1_2; protein YIPF1/2	http://www.genome.jp/dbget-bin/www_bget?ko:K22940	_
Glyma.03G239000	K00869	E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]	http://www.genome.jp/dbget-bin/www_bget?ko:K00869	ko00900;ko01100;ko01110;ko01130;ko04146
Glyma.03G239200	K01455	E3.5.1.49; formamidase [EC:3.5.1.49]	http://www.genome.jp/dbget-bin/www_bget?ko:K01455	ko00460;ko00630;ko00910;ko01100;ko01200
Glyma.03G239400	K08066	NFYC; nuclear transcription factor Y, gamma	http://www.genome.jp/dbget-bin/www_bget?ko:K08066	ko04612;ko05152
Glyma.03G239500	K13754	SLC24A6, NCKX6; solute carrier family 24 (sodium/potassium/calcium exchanger), member 6	http://www.genome.jp/dbget-bin/www_bget?ko:K13754	_
Glyma.03G239600	K12948	SPCS3, SPC3; signal peptidase complex subunit 3 [EC:3.4.-.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K12948	ko03060
Glyma.03G239900	K10664	ATL6S; E3 ubiquitin-protein ligase ATL6/9/15/31/42/55 [EC:2.3.2.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K10664	_
Glyma.03G240100	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	http://www.genome.jp/dbget-bin/www_bget?ko:K00826	ko00270;ko00280;ko00290;ko00770;ko00966;ko01100;ko01110;ko01130;ko01210;ko01230
Glyma.03G240600	K21456	GSS; glutathione synthase [EC:6.3.2.3]	http://www.genome.jp/dbget-bin/www_bget?ko:K21456	ko00270;ko00480;ko01100;ko04216
Glyma.03G241000	K08145	SLC2A8, GLUT8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8	http://www.genome.jp/dbget-bin/www_bget?ko:K08145	_
Glyma.03G241100	K02955	RP-S14e, RPS14; small subunit ribosomal protein S14e	http://www.genome.jp/dbget-bin/www_bget?ko:K02955	ko03010
Glyma.03G241300	K02955	RP-S14e, RPS14; small subunit ribosomal protein S14e	http://www.genome.jp/dbget-bin/www_bget?ko:K02955	ko03010
Glyma.03G241500	K08145	SLC2A8, GLUT8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8	http://www.genome.jp/dbget-bin/www_bget?ko:K08145	_
Glyma.03G241600	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.03G241700	K14490	AHP; histidine-containing phosphotransfer peotein	http://www.genome.jp/dbget-bin/www_bget?ko:K14490	ko04075
Glyma.03G241800	K11251	H2A; histone H2A	http://www.genome.jp/dbget-bin/www_bget?ko:K11251	ko04217;ko05034;ko05322
Glyma.03G242000	K20003	ZDHHC4, SWF1; palmitoyltransferase ZDHHC4 [EC:2.3.1.225]	http://www.genome.jp/dbget-bin/www_bget?ko:K20003	_
Glyma.03G242400	K13832	aroDE, DHQ-SDH; 3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]	http://www.genome.jp/dbget-bin/www_bget?ko:K13832	ko00400;ko01100;ko01110;ko01130;ko01230
Glyma.03G242500	K20304	TRAPPC6, TRS33; trafficking protein particle complex subunit 6	http://www.genome.jp/dbget-bin/www_bget?ko:K20304	_
Glyma.03G242700	K22988	TPRA1, GPR175; transmembrane protein adipocyte-associated 1	http://www.genome.jp/dbget-bin/www_bget?ko:K22988	_
Glyma.03G242900	K04565	SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04565	ko04146;ko04213;ko05014;ko05016;ko05020
Glyma.03G243000	K14724	SLC9A8, NHE8; solute carrier family 9 (sodium/hydrogen exchanger), member 8	http://www.genome.jp/dbget-bin/www_bget?ko:K14724	_
Glyma.03G243100	K03240	EIF2B5; translation initiation factor eIF-2B subunit epsilon	http://www.genome.jp/dbget-bin/www_bget?ko:K03240	ko03013;ko05168
Glyma.03G243400	K14289	XPO5; exportin-5	http://www.genome.jp/dbget-bin/www_bget?ko:K14289	ko03013
Glyma.03G243500	K08819	CDK12_13; cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23]	http://www.genome.jp/dbget-bin/www_bget?ko:K08819	_
Glyma.03G243800	K15361	WDR48, UAF1; WD repeat-containing protein 48	http://www.genome.jp/dbget-bin/www_bget?ko:K15361	ko03460
Glyma.03G244300	K19861	BEBT, AMAT; benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]	http://www.genome.jp/dbget-bin/www_bget?ko:K19861	_
Glyma.03G244400	K19861	BEBT, AMAT; benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]	http://www.genome.jp/dbget-bin/www_bget?ko:K19861	_
Glyma.03G244500	K15361	WDR48, UAF1; WD repeat-containing protein 48	http://www.genome.jp/dbget-bin/www_bget?ko:K15361	ko03460
Glyma.03G244600	K19861	BEBT, AMAT; benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]	http://www.genome.jp/dbget-bin/www_bget?ko:K19861	_
Glyma.03G244700	K02736	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K02736	ko03050
Glyma.03G244800	K01738	cysK; cysteine synthase [EC:2.5.1.47]	http://www.genome.jp/dbget-bin/www_bget?ko:K01738	ko00270;ko00920;ko01100;ko01110;ko01120;ko01130;ko01200;ko01230
Glyma.03G245000	K20553	XRN4; 5'-3' exoribonuclease 4 [EC:3.1.13.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K20553	ko04016
Glyma.03G245300	K02974	RP-S24e, RPS24; small subunit ribosomal protein S24e	http://www.genome.jp/dbget-bin/www_bget?ko:K02974	ko03010
Glyma.03G245500	K08867	WNK, PRKWNK; WNK lysine deficient protein kinase [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K08867	_
Glyma.03G245800	K23563	EMC2, TTC35; ER membrane protein complex subunit 2	http://www.genome.jp/dbget-bin/www_bget?ko:K23563	_
Glyma.03G245900	K06176	truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K06176	_
Glyma.03G246100	K08857	NEK1_4_5; NIMA (never in mitosis gene a)-related kinase 1/4/5 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K08857	_
Glyma.03G246300	K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	http://www.genome.jp/dbget-bin/www_bget?ko:K01807	ko00030;ko00710;ko01100;ko01110;ko01120;ko01130;ko01200;ko01230
Glyma.03G246500	K01456	E3.5.1.52, NGLY1, PNG1; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase [EC:3.5.1.52]	http://www.genome.jp/dbget-bin/www_bget?ko:K01456	ko04141
Glyma.03G246700	K05275	E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]	http://www.genome.jp/dbget-bin/www_bget?ko:K05275	ko00750;ko01100;ko01120
Glyma.03G246800	K02183	CALM; calmodulin	http://www.genome.jp/dbget-bin/www_bget?ko:K02183	ko04014;ko04015;ko04016;ko04020;ko04022;ko04024;ko04070;ko04114;ko04218;ko04261;ko04270;ko04371;ko04625;ko04626;ko04713;ko04720;ko04722;ko04728;ko04740;ko04744;ko04745;ko04750;ko04910;ko04912;ko04915;ko04916;ko04921;ko04922;ko04924;ko04925;ko04970;ko04971;ko05010;ko05031;ko05034;ko05133;ko05152;ko05163;ko05167;ko05170;ko05200;ko05214;ko05418
Glyma.03G247000	K10046	GME; GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K10046	ko00053;ko00520;ko01100;ko01110
Glyma.03G247200	K03116	tatA; sec-independent protein translocase protein TatA	http://www.genome.jp/dbget-bin/www_bget?ko:K03116	ko03060;ko03070
Glyma.03G247300	K15156	MED14, RGR1; mediator of RNA polymerase II transcription subunit 14	http://www.genome.jp/dbget-bin/www_bget?ko:K15156	ko04919
Glyma.03G247400	K14484	IAA; auxin-responsive protein IAA	http://www.genome.jp/dbget-bin/www_bget?ko:K14484	ko04075
Glyma.03G247800	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.03G248200	K21444	PCBP3_4; poly(rC)-binding protein 3/4	http://www.genome.jp/dbget-bin/www_bget?ko:K21444	_
Glyma.03G248500	K05275	E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]	http://www.genome.jp/dbget-bin/www_bget?ko:K05275	ko00750;ko01100;ko01120
Glyma.03G248600	K05275	E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]	http://www.genome.jp/dbget-bin/www_bget?ko:K05275	ko00750;ko01100;ko01120
Glyma.03G249200	K10357	MYO5; myosin V	http://www.genome.jp/dbget-bin/www_bget?ko:K10357	ko05130
Glyma.03G249500	K22809	IPUT1; inositol phosphorylceramide glucuronosyltransferase 1 [EC:2.4.1.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K22809	_
Glyma.03G249900	K17991	PXG; peroxygenase [EC:1.11.2.3]	http://www.genome.jp/dbget-bin/www_bget?ko:K17991	ko00073
Glyma.03G250100	K13345	PEX12, PAF3; peroxin-12	http://www.genome.jp/dbget-bin/www_bget?ko:K13345	ko04146
Glyma.03G250400	K21437	ANKRD13; ankyrin repeat domain-containing protein 13	http://www.genome.jp/dbget-bin/www_bget?ko:K21437	_
Glyma.03G250600	K09422	MYBP; transcription factor MYB, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K09422	_
Glyma.03G250800	K01620	ltaE; threonine aldolase [EC:4.1.2.48]	http://www.genome.jp/dbget-bin/www_bget?ko:K01620	ko00260;ko01100;ko01110;ko01120;ko01130;ko01230
Glyma.03G251100	K18460	XPO7, EXP7; exportin-7	http://www.genome.jp/dbget-bin/www_bget?ko:K18460	_
Glyma.03G251300	K11583	PPP2R3; serine/threonine-protein phosphatase 2A regulatory subunit B''	http://www.genome.jp/dbget-bin/www_bget?ko:K11583	ko03015;ko04071;ko04151;ko04152;ko04261;ko04728;ko05165
Glyma.03G251500	K06269	PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]	http://www.genome.jp/dbget-bin/www_bget?ko:K06269	ko03015;ko04022;ko04024;ko04113;ko04114;ko04218;ko04261;ko04270;ko04390;ko04510;ko04611;ko04720;ko04728;ko04750;ko04810;ko04910;ko04921;ko04931;ko05031;ko05034;ko05168;ko05205
Glyma.03G251600	K03767	PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]	http://www.genome.jp/dbget-bin/www_bget?ko:K03767	ko01503;ko04217
Glyma.03G251700	K14509	ETR, ERS; ethylene receptor [EC:2.7.13.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K14509	ko04016;ko04075
Glyma.03G251800	K06934	K06934; uncharacterized protein	http://www.genome.jp/dbget-bin/www_bget?ko:K06934	_
Glyma.03G252000	K20298	VPS52; vacuolar protein sorting-associated protein 52	http://www.genome.jp/dbget-bin/www_bget?ko:K20298	_
Glyma.03G253000	K05749	CYFIP; cytoplasmic FMR1 interacting protein	http://www.genome.jp/dbget-bin/www_bget?ko:K05749	ko03013;ko04810;ko05130;ko05132
Glyma.03G253300	K11091	SNRPA; U1 small nuclear ribonucleoprotein A	http://www.genome.jp/dbget-bin/www_bget?ko:K11091	ko03040
Glyma.03G253500	K09839	VDE, NPQ1; violaxanthin de-epoxidase [EC:1.23.5.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K09839	ko00906;ko01100;ko01110
Glyma.03G253600	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.03G253800	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.03G254200	K14566	UTP24, FCF1; U3 small nucleolar RNA-associated protein 24	http://www.genome.jp/dbget-bin/www_bget?ko:K14566	ko03008
Glyma.03G254700	K03236	EIF1A; translation initiation factor 1A	http://www.genome.jp/dbget-bin/www_bget?ko:K03236	ko03013
Glyma.03G255000	K09060	GBF; plant G-box-binding factor	http://www.genome.jp/dbget-bin/www_bget?ko:K09060	_
Glyma.03G255100	K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	http://www.genome.jp/dbget-bin/www_bget?ko:K01792	ko00010;ko01100;ko01110;ko01120;ko01130
Glyma.03G255400	K06689	UBE2D, UBC4, UBC5; ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]	http://www.genome.jp/dbget-bin/www_bget?ko:K06689	ko04013;ko04120;ko04141;ko04624;ko05131
Glyma.03G255500	K13434	PTI6; pathogenesis-related genes transcriptional activator PTI6	http://www.genome.jp/dbget-bin/www_bget?ko:K13434	ko04626
Glyma.03G255600	K15119	SLC25A39_40; solute carrier family 25, member 39/40	http://www.genome.jp/dbget-bin/www_bget?ko:K15119	_
Glyma.03G255800	K10389	TUBG; tubulin gamma	http://www.genome.jp/dbget-bin/www_bget?ko:K10389	ko05165
Glyma.03G255900	K15272	SLC35A1_2_3; solute carrier family 35 (UDP-sugar transporter), member A1/2/3	http://www.genome.jp/dbget-bin/www_bget?ko:K15272	_
Glyma.03G256100	K14684	SLC25A23S; solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41	http://www.genome.jp/dbget-bin/www_bget?ko:K14684	_
Glyma.03G256200	K14506	JAR1_4_6; jasmonic acid-amino synthetase [EC:6.3.2.52]	http://www.genome.jp/dbget-bin/www_bget?ko:K14506	ko04075
Glyma.03G256400	K23877	AXY4, AXY4L; xyloglucan O-acetyltransferase	http://www.genome.jp/dbget-bin/www_bget?ko:K23877	_
Glyma.03G256500	K08237	E2.4.1.218; hydroquinone glucosyltransferase [EC:2.4.1.218]	http://www.genome.jp/dbget-bin/www_bget?ko:K08237	_
Glyma.03G256800	K17525	CHID1; chitinase domain-containing protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K17525	_
Glyma.03G257000	K05391	CNGC; cyclic nucleotide gated channel, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K05391	ko04626
Glyma.03G257700	K04506	SIAH1; E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K04506	ko04013;ko04115;ko04120;ko04310
Glyma.03G257800	K23720	UVSSA; UV-stimulated scaffold protein A	http://www.genome.jp/dbget-bin/www_bget?ko:K23720	_
Glyma.03G257900	K22683	APF2; aspartyl protease family protein [EC:3.4.23.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K22683	_
Glyma.03G258100	K13422	MYC2; transcription factor MYC2	http://www.genome.jp/dbget-bin/www_bget?ko:K13422	ko04016;ko04075
Glyma.03G258200	K09286	EREBP; EREBP-like factor	http://www.genome.jp/dbget-bin/www_bget?ko:K09286	_
Glyma.03G258300	K14486	K14486, ARF; auxin response factor	http://www.genome.jp/dbget-bin/www_bget?ko:K14486	ko04075
Glyma.03G258700	K09422	MYBP; transcription factor MYB, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K09422	_
Glyma.03G259000	K05305	FUK; fucokinase [EC:2.7.1.52]	http://www.genome.jp/dbget-bin/www_bget?ko:K05305	ko00051;ko00520;ko01100
Glyma.03G259300	K08900	BCS1; mitochondrial chaperone BCS1	http://www.genome.jp/dbget-bin/www_bget?ko:K08900	_
Glyma.03G259600	K23490	CYB5; cytochrome b5	http://www.genome.jp/dbget-bin/www_bget?ko:K23490	_
